Attributes,Adj Close,Close,High,Low,Open,Volume
Symbols,TWTR,TWTR,TWTR,TWTR,TWTR,TWTR
Date,,,,,,
2022-01-03,42.65999984741211,42.65999984741211,43.689998626708984,42.47999954223633,43.5,14447453.0
2022-01-04,40.849998474121094,40.849998474121094,42.970001220703125,40.36000061035156,42.849998474121094,21422442.0
2022-01-05,39.5,39.5,41.87540054321289,39.45000076293945,40.79999923706055,22008559.0
2022-01-06,39.59000015258789,39.59000015258789,40.439998626708984,38.689998626708984,39.5,16613358.0
2022-01-07,39.66999816894531,39.66999816894531,40.689998626708984,39.31999969482422,39.650001525878906,14669913.0
2022-01-10,39.970001220703125,39.970001220703125,40.03499984741211,38.220001220703125,39.33000183105469,14997303.0
2022-01-11,40.65999984741211,40.65999984741211,40.93989944458008,39.599998474121094,39.790000915527344,13815386.0
2022-01-12,40.25,40.25,41.47999954223633,39.77000045776367,40.880001068115234,10439039.0
2022-01-13,38.70000076293945,38.70000076293945,40.34000015258789,38.61000061035156,40.150001525878906,15075627.0
2022-01-14,38.439998626708984,38.439998626708984,39.04999923706055,37.5099983215332,38.43000030517578,14849796.0
2022-01-18,37.29999923706055,37.29999923706055,38.20000076293945,37.130001068115234,37.720001220703125,14915247.0
2022-01-19,37.349998474121094,37.349998474121094,38.279998779296875,37.005001068115234,37.130001068115234,19797988.0
2022-01-20,37.279998779296875,37.279998779296875,39.029998779296875,37.19499969482422,37.84000015258789,17688913.0
2022-01-21,34.81999969482422,34.81999969482422,37.08000183105469,34.79499816894531,36.900001525878906,25674078.0
2022-01-24,35.060001373291016,35.060001373291016,35.13999938964844,32.04999923706055,33.70000076293945,31932961.0
2022-01-25,34.16999816894531,34.16999816894531,34.9900016784668,33.619998931884766,34.220001220703125,19205772.0
2022-01-26,33.619998931884766,33.619998931884766,35.43000030517578,33.26499938964844,34.970001220703125,21377945.0
2022-01-27,33.84000015258789,33.84000015258789,35.141700744628906,33.810001373291016,34.13999938964844,16637276.0
2022-01-28,35.27000045776367,35.27000045776367,35.29999923706055,33.599998474121094,33.790000915527344,14368685.0
2022-01-31,37.5099983215332,37.5099983215332,37.560001373291016,35.34000015258789,35.43000030517578,17558278.0
2022-02-01,38.119998931884766,38.119998931884766,38.16999816894531,36.869998931884766,37.84000015258789,14628246.0
2022-02-02,36.5099983215332,36.5099983215332,38.290000915527344,36.25,38.290000915527344,18992993.0
2022-02-03,34.47999954223633,34.47999954223633,35.18000030517578,33.84000015258789,33.84000015258789,32803389.0
